Name,Sector,Years of Operation,What They Did,How Much They Raised (Millions),Why They Failed,Takeaway,Giants,No Budget,Competition,Poor Market Fit,Acquisition Stagnation,Platform Dependency,Monetization Failure,Niche Limits,Execution Flaws,Trend Shifts,Toxicity/Trust Issues,Regulatory Pressure,Overhype
Avant,Finance and Insurance,2012-2023,Online personal loans,655,LendingClub and high defaults,Lending needs risk balance,1,1,1,0,0,0,0,0,0,0,0,0,0
Bitpass,Finance and Insurance,2002-2008,Micropayments platform,2,PayPal and low adoption,Micropayments need mass use,1,0,1,1,0,0,0,0,0,0,0,0,0
Cake Financial,Finance and Insurance,2006-2011,Portfolio tracking tool,3,Mint and sold to TradeKing,Finance tools need scale,1,0,1,0,1,0,0,0,0,0,0,0,0
Circle,Finance and Insurance,2013-2023,Crypto payments and stablecoin,500,Coinbase and market shifts,Crypto needs stability,1,0,1,0,0,0,0,0,0,1,0,0,0
Clarity Money,Finance and Insurance,2016-2022,Personal finance app,11,Mint/Acorns and sold to Goldman,Finance apps need edge,1,0,1,0,1,0,0,0,0,0,0,0,0
Clinkle,Finance and Insurance,2011-2016,Mobile wallet,30,No product vs Apple Pay/PayPal,Execution over promises,1,0,1,0,0,0,0,0,1,0,0,0,1
Coinbase NFT,Finance and Insurance,2021-2023,NFT marketplace,0,OpenSea and NFT crash,NFTs need timing,1,0,1,0,0,0,0,0,0,1,0,0,0
FundersClub,Finance and Insurance,2012-2022,Crowdfunding for startups,20,Kickstarter and low ROI,Crowdfunding needs hits,1,0,1,0,0,0,1,0,0,0,0,0,0
Fuze Network,Finance and Insurance,2010-2016,Prepaid card payments,5,Green Dot and small scale,Prepaid needs reach,1,0,1,0,0,0,0,1,0,0,0,0,0
Indiegogo Life,Finance and Insurance,2014-2019,Personal crowdfunding,10,GoFundMe and niche focus,Personal funding needs appeal,1,0,1,1,0,0,0,1,0,0,0,0,0
Isentium,Finance and Insurance,2012-2020,Social sentiment for trading,15,Bloomberg and low uptake,Trading tools need traction,1,0,1,1,0,0,0,0,0,0,0,0,0
LendUp,Finance and Insurance,2012-2021,Loans for subprime borrowers,350,Regulatory fines and OppLoans competition,Fintech canâ€™t skirt regs,1,0,1,0,0,0,0,0,0,0,1,1,0
LendingClub,Finance and Insurance,2006-2021,P2P lending platform,1000,banks and trust issues,P2P needs trust,1,0,1,0,0,0,0,0,0,0,1,0,0
LendLayer,Finance and Insurance,2013-2017,Coding bootcamp loans,0.4,Affirm and sold,Small niches get swallowed,1,0,1,0,1,0,0,1,0,0,0,0,0
Loyal3,Finance and Insurance,2008-2018,Commission-free brokerage,30,Robinhood and closed,Brokerages need volume,1,0,1,0,0,0,0,0,0,0,0,0,0
Money360,Finance and Insurance,2012-2020,Real estate lending platform,10,Fundrise and slow growth,Lending needs scale,1,0,1,0,0,0,0,0,0,0,0,0,0
Monitor110,Finance and Insurance,2005-2008,Financial data aggregator,3,Bloomberg and early market,Timing is key,1,0,1,1,0,0,0,0,0,0,0,0,0
Mozido,Finance and Insurance,2008-2017,Mobile payments platform,185,Square and mismanagement,Payments need execution,1,0,1,0,0,0,0,0,1,0,0,0,0
Pawngo,Finance and Insurance,2011-2017,Online pawn lending,6,traditional pawnshops and niche,Niche lending needs demand,0,0,1,1,0,0,0,1,0,0,0,0,0
Pay By Touch,Finance and Insurance,2002-2007,Biometric payments,300,PayPal and tech issues,Biometrics need reliability,1,0,1,0,0,0,0,0,1,0,0,0,0
Plum Will,Finance and Insurance,2015-2020,Digital estate planning,2,LegalZoom and low uptake,Estate tech needs traction,1,0,1,1,0,0,0,0,0,0,0,0,0
PoundPay,Finance and Insurance,2009-2013,Payment gateway,1,Stripe and sold,Payments need scale,1,0,1,0,1,0,0,0,0,0,0,0,0
ReadyForZero,Finance and Insurance,2010-2017,Debt management app,5,Credit Karma and sold,Debt tools need edge,1,0,1,0,1,0,0,0,0,0,0,0,0
RushCard,Finance and Insurance,2003-2018,Prepaid debit card,20,Chime and trust issues,Prepaid needs trust,1,0,1,0,0,0,0,0,0,0,1,0,0
Seed,Finance and Insurance,2012-2017,Small biz banking,5,Brex and closed,Banking needs scale,1,0,1,0,0,0,0,0,0,0,0,0,0
Sensible,Finance and Insurance,2016-2020,Personal finance for gig workers,4,Even and niche,Niche finance needs reach,1,0,1,1,0,0,0,1,0,0,0,0,0
SigFig,Finance and Insurance,2007-2018,Robo-advisor,70,Wealthfront and sold,Robo-advisors need edge,1,0,1,0,1,0,0,0,0,0,0,0,0
Simple,Finance and Insurance,2009-2016,Neobank with budgeting,25,Chime/Ally and shut post-BBVA sale,Neobanks need independence,1,0,1,0,1,0,0,0,0,0,0,0,0
SmartAsset,Finance and Insurance,2012-2023,Financial planning tools,161,NerdWallet and slow growth,Planning needs traction,1,0,1,0,0,0,0,0,0,0,0,0,0
SoFi Social,Finance and Insurance,2016-2021,Social finance platform,0,Robinhood and niche,Social finance needs scale,1,0,1,1,0,0,0,1,0,0,0,0,0
Square Cash,Finance and Insurance,2013-2020,P2P payments (early),0,Venmo and pivoted,Payments need dominance,1,0,1,0,0,0,0,0,0,0,0,0,0
Taulia,Finance and Insurance,2009-2022,Supply chain finance,200,Coupa and sold,Finance needs edge,1,0,1,0,1,0,0,0,0,0,0,0,0
Tilt,Finance and Insurance,2012-2018,Social crowdfunding,67,GoFundMe and sold,Crowdfunding needs mass,1,0,1,0,1,0,0,0,0,0,0,0,0
Toshl,Finance and Insurance,2008-2020,Personal finance app,1,Mint and low scale,Finance apps need reach,1,0,1,0,0,0,0,0,0,0,0,0,0
TrustEgg,Finance and Insurance,2012-2016,Crowdfunded trusts,0.5,traditional trusts and niche,Niche needs demand,0,0,1,1,0,0,0,1,0,0,0,0,0
Upstart,Finance and Insurance,2012-2023,AI-driven lending,144,banks and high defaults,Lending needs stability,1,1,1,0,0,0,0,0,0,0,0,0,0
Vemo,Finance and Insurance,2015-2021,Income-share agreements,20,Lambda School and regs,ISAs need traction,1,0,1,0,0,0,0,0,0,0,0,1,0
Venmo Groups,Finance and Insurance,2015-2020,Group payments feature,0,Splitwise and niche,Niche payments need use,1,0,1,1,0,0,0,1,0,0,0,0,0
Vittana,Finance and Insurance,2008-2015,Student microloans,5,SoFi and low scale,Microloans need reach,1,0,1,0,0,0,0,1,0,0,0,0,0
Wealthfront Cash,Finance and Insurance,2018-2023,High-yield savings,0,Ally and pivoted,Savings need edge,1,0,1,0,0,0,0,0,0,0,0,0,0
Wealthsimple Trade,Finance and Insurance,2017-2023,Commission-free trading,0,Robinhood and pivoted,Trading needs volume,1,0,1,0,0,0,0,0,0,0,0,0
Wepay,Finance and Insurance,2008-2020,Payment processing,75,Stripe and sold,Payments need scale,1,0,1,0,1,0,0,0,0,0,0,0,0
Wesabe,Finance and Insurance,2006-2011,Personal finance app,4,Mint and early market,Timing matters,1,0,1,1,0,0,0,0,0,0,0,0,0
Wise,Finance and Insurance,2011-2023,International transfers,689,PayPal and high costs,Transfers need edge,1,1,1,0,0,0,0,0,0,0,0,0,0
YayPay,Finance and Insurance,2015-2021,Accounts receivable automation,15,Bill.com and sold,Automation needs scale,1,0,1,0,1,0,0,0,0,0,0,0,0
Ycharts,Finance and Insurance,2009-2021,Financial data platform,15,Bloomberg and sold,Data needs dominance,1,0,1,0,1,0,0,0,0,0,0,0,0
ZestFinance,Finance and Insurance,2009-2020,AI underwriting loans,112,Upstart and regs,Lending needs compliance,1,0,1,0,0,0,0,0,0,0,0,1,0